,video_id,video_title_high_engagement,video_title_medium_engagement,video_tile_low_engagement,video_audio_high_engagement,video_audio_medium_engagement,video_audio_low_engagement,video_thumbnail_high_engagement,video_thumbnail_medium_engagement,video_thumbnail_low_engagement,video_frame_high_engagement,video_frame_medium_engagement,video_frame_low_engagement,video_transcript_high_engagement,video_transcript_medium_engagement,video_transcript_low_engagement,label
4,GkfsmP2St7Y,0.9857187522806945,0.004012112729634508,0.010269134989671021,0.088450694547589,0.5578674840447753,0.3536818214076357,0.06390132211601607,0.6434440696620015,0.29265460822198236,0.010731245994260355,0.8858086140970569,0.10346013990868275,0.04358670317227631,0.8464840841128417,0.10992921271488204,High engagement
15,KeJDegFQjkw,0.07071105952401709,0.012133152650130853,0.917155787825852,0.1058724639934192,0.5393532551501944,0.35477428085638635,0.3401759400874971,0.4717106589316299,0.18811340098087298,0.05617509110466612,0.11904840501751789,0.824776503877816,0.03734716841802188,0.8177243957192218,0.14492843586275617,Low engagement
17,2QkdLx5j9hg,0.10089216844489789,0.14046621659815892,0.7586416149569432,0.07052215211972884,0.39168566666536647,0.5377921812149047,0.016370804861001516,0.9486970503860414,0.03493214475295729,0.036849485443521984,0.004693103782813962,0.958457410773664,0.1225424386493712,0.30289389400828254,0.5745636673423463,High engagement
22,Z0DC7R2iAgs,0.299655337592099,0.13447882279182707,0.5658658396160738,0.06254662844424488,0.5369173473711234,0.4005360241846318,0.008099841250318297,0.9770347857032406,0.014865373046441107,0.03303086616652553,0.5340676853804621,0.43290144845301226,0.0817567821877126,0.09140827227235791,0.8268349455399295,Low engagement
25,qpQR7MDmpus,0.4867349223425986,0.024394081332062518,0.48887099632533876,0.0073242001583343095,0.045139788590590715,0.947536011251075,0.025508516564498384,0.9100507580936276,0.06444072534187399,0.005756535295783957,0.8289177051676315,0.16532575953658452,0.1175352169315568,0.23433370762217057,0.6481310754462726,High engagement
26,Km_9owhXWJY,0.007731278715775746,0.03979283872270289,0.9524758825615214,0.013923742242183686,0.6243185360111742,0.36175772174664217,0.280688597222684,0.5662857549384595,0.15302564783885653,0.09149011735677746,0.10529337255271597,0.8032165100905065,0.03943280907689278,0.697742424024862,0.2628247668982453,Low engagement
27,6_BGER7qYFM,0.23610747080531425,0.07407162614856415,0.6898209030461215,0.04970330577171101,0.21196944738332063,0.7383272468449684,0.033832296485041546,0.9331366284495277,0.033031075065430626,0.004733199175133642,0.9831204322804654,0.012146368544401012,0.08103010183342226,0.5900939498077472,0.3288759483588305,Low engagement
28,Czo3FtdM6_8,0.6525264397132481,0.018422989174939456,0.3290505711118124,0.008999991668165504,0.8549757755096273,0.1360242328222071,0.00508939120679126,0.9519955203953986,0.04291508839781009,0.2268118831980901,0.42198043919749434,0.3512076776044156,0.049019994059511435,0.8709347477219574,0.08004525821853098,High engagement
30,9arIJf9UuUg,0.27416832881906683,0.014169661983233385,0.7116620091976997,0.5702597458741586,0.1099948696875144,0.319745384438327,0.07199453278648459,0.8675663875628279,0.06043907965068754,0.000723490371123502,0.994731884670514,0.004544624958362475,0.09694450960965205,0.3459672323906141,0.5570882579997338,High engagement
31,UBePAfWikbs,0.05151839474822134,0.8495995769303744,0.09888202832140418,0.004329023996707946,0.03562666445411905,0.9600443115491729,0.010031264337041122,0.9691057918517479,0.020862943811210986,0.09357159298855514,0.44918962559754394,0.45723878141390106,0.04905141509477445,0.8986950558025608,0.052253529102664766,Medium engagement
35,mPsTC79FXa0,0.04611294318239365,0.02383272549602243,0.9300543313215839,0.5894621362283854,0.05780780624383889,0.35273005752777575,0.04269397990128255,0.906920149653558,0.050385870445159346,0.08244824956605903,0.7460522692866682,0.1714994811472728,0.3715280358438249,0.21363866578627094,0.41483329836990424,Low engagement
36,1geyVOOoe6M,0.021205779202816608,0.8956394753704929,0.08315474542669046,0.01311694826858897,0.10943115152854643,0.8774519002028646,0.042865913452027525,0.9100338206595404,0.04710026588843202,0.015029019009146159,0.9316461372582417,0.05332484373261213,0.017261068324924897,0.9727272724604512,0.010011659214623906,High engagement
39,qPbJ33f-biI,0.0401234955228385,0.03565429592472158,0.92422220855244,0.03209976478868692,0.6947165461139839,0.2731836890973292,0.054033966309470036,0.8568879413250393,0.08907809236549064,0.08514588045608008,0.42225017201150256,0.4926039475324173,0.023754720291302423,0.935269292447035,0.04097598726166239,High engagement
41,a7p51yDbnZM,0.09800820926347104,0.015466510094958679,0.8865252806415702,0.07775635660151474,0.7492656187879878,0.17297802461049752,0.02529260701588058,0.893485405259967,0.08122198772415236,0.12381779782373369,0.3353342430578998,0.5408479591183665,0.08866189454081562,0.8714840360580173,0.039854069401167036,Low engagement
